platform_id,nickname,make,model_family,generation,production_year_start,production_year_end,cab_style,bed_length_class,bed_length_floor_inches,bed_length_rail_inches,bed_width_at_rail_inches,bed_width_outer_inches,bed_depth_inches,rail_profile_shape,rail_cross_section_width_inches,rail_cross_section_height_inches,stake_pockets_present,stake_pocket_count_per_side,stake_pocket_length_inches,stake_pocket_width_inches,utility_track_system,cab_back_generation,cab_camera_present,tailgate_variant,notes,source_urls
TOY-TUN-07-13-RC-SHORTB,Tundra (TU) (2007–2013),Toyota,Tundra,,2007,2013,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TUN-07-13-DC-SHORTB,Tundra (TU) (2007–2013),Toyota,Tundra,,2007,2013,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TUN-04-06-DC-SHORTB,Tundra (TU) (2004–2006),Toyota,Tundra,,2004,2006,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TUN-01-06-XC-SHORTB,Tundra (TU) (2001–2006),Toyota,Tundra,,2001,2006,Extended Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TUN-00-XC-SHORTB,Tundra (TU) (2000–2000),Toyota,Tundra,,2000,2000,Extended Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TAC-24P-DC-VBED,Tacoma (TA) (2024–present),Toyota,Tacoma,,2024,,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TAC-24P-DC-SHORTB,Tacoma (TA) (2024–present),Toyota,Tacoma,,2024,,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TAC-16-23-DC-VBED,Tacoma (TA) (2016–2023),Toyota,Tacoma,,2016,2023,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TAC-16-23-DC-SHORTB,Tacoma (TA) (2016–2023),Toyota,Tacoma,,2016,2023,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TAC-16-23-RC-SHORTB,Tacoma (TA) (2016–2023),Toyota,Tacoma,,2016,2023,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TAC-16-23-XC-SHORTB,Tacoma (TA) (2016–2023),Toyota,Tacoma,,2016,2023,Extended Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TAC-05-15-DC-VBED,Tacoma (TA) (2005–2015),Toyota,Tacoma,,2005,2015,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TAC-05-15-DC-SHORTB,Tacoma (TA) (2005–2015),Toyota,Tacoma,,2005,2015,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TAC-05-15-XC-SHORTB,Tacoma (TA) (2005–2015),Toyota,Tacoma,,2005,2015,Extended Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
