year,make,model,cab_style,bed_length_label,platform_id
2003,Ford,Ranger,,"75""",leer_75r
2004,Ford,Ranger,,"75""",leer_75r
2005,Ford,Ranger,,"75""",leer_75r
2006,Ford,Ranger,,"75""",leer_75r
2007,Ford,Ranger,,"75""",leer_75r
2008,Ford,Ranger,,"75""",leer_75r
2009,Ford,Ranger,,"75""",leer_75r
2010,Ford,Ranger,,"75""",leer_75r
2011,Ford,Ranger,,"75""",leer_75r
2012,Ford,Ranger,,"75""",leer_75r
2022,Ford,Maverick,,"45""",leer_45fm22
2023,Ford,Maverick,,"45""",leer_45fm22
2024,Ford,Maverick,,"45""",leer_45fm22
2025,Ford,Maverick,,"45""",leer_45fm22
2019,Ram,1500,,"64""",leer_64dr19_h
2020,Ram,1500,,"64""",leer_64dr19_h
2021,Ram,1500,,"64""",leer_64dr19_h
2022,Ram,1500,,"64""",leer_64dr19_h
2023,Ram,1500,,"64""",leer_64dr19_h
2024,Ram,1500,,"64""",leer_64dr19_h
2025,Ram,1500,,"64""",leer_64dr19_h
2019,Ram,1500,,"64""",leer_64dr19_d
2020,Ram,1500,,"64""",leer_64dr19_d
2021,Ram,1500,,"64""",leer_64dr19_d
2022,Ram,1500,,"64""",leer_64dr19_d
2023,Ram,1500,,"64""",leer_64dr19_d
2024,Ram,1500,,"64""",leer_64dr19_d
2025,Ram,1500,,"64""",leer_64dr19_d
2019,Ram,1500,,"80""",leer_80dr19_h
2020,Ram,1500,,"80""",leer_80dr19_h
2021,Ram,1500,,"80""",leer_80dr19_h
2022,Ram,1500,,"80""",leer_80dr19_h
2023,Ram,1500,,"80""",leer_80dr19_h
2024,Ram,1500,,"80""",leer_80dr19_h
2025,Ram,1500,,"80""",leer_80dr19_h
2019,Ram,1500,,"80""",leer_80dr19_d
2020,Ram,1500,,"80""",leer_80dr19_d
2021,Ram,1500,,"80""",leer_80dr19_d
2022,Ram,1500,,"80""",leer_80dr19_d
2023,Ram,1500,,"80""",leer_80dr19_d
2024,Ram,1500,,"80""",leer_80dr19_d
2025,Ram,1500,,"80""",leer_80dr19_d
2019,Ram,1500,,"57""",leer_57dr19
2020,Ram,1500,,"57""",leer_57dr19
2021,Ram,1500,,"57""",leer_57dr19
2022,Ram,1500,,"57""",leer_57dr19
2023,Ram,1500,,"57""",leer_57dr19
2024,Ram,1500,,"57""",leer_57dr19
2025,Ram,1500,,"57""",leer_57dr19
2025,Ram,1500,,"64""",leer_64dr19
2010,Ram,1500,,"80""",leer_80dr10
2011,Ram,1500,,"80""",leer_80dr10
2012,Ram,1500,,"80""",leer_80dr10
2013,Ram,1500,,"80""",leer_80dr10
2014,Ram,1500,,"80""",leer_80dr10
2015,Ram,1500,,"80""",leer_80dr10
2016,Ram,1500,,"80""",leer_80dr10
2017,Ram,1500,,"80""",leer_80dr10
2018,Ram,1500,,"80""",leer_80dr10
2010,Ram,1500,,"80""",leer_80dr10_d
2011,Ram,1500,,"80""",leer_80dr10_d
2012,Ram,1500,,"80""",leer_80dr10_d
2013,Ram,1500,,"80""",leer_80dr10_d
