fits_platform_id,topper_brand,topper_model_series,fit_type,wrap_type,has_skirted_sides,door_type,clamp_type_required,bed_size_class,camera_compatible,has_custom_fit,model_id_alias,fit_notes,confidence,verified_by,source_effective_date,topper_production_year_start,topper_production_year_end
leer_64dr19,LEER,100S,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr19,LEER,180XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr19,LEER,750_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr09,LEER,100XQ_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr09,LEER,100XL,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr09,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr09,LEER,100R,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr09,LEER,100S,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr09,LEER,122,OEM,X,True,windoor,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr09,LEER,750_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr09,LEER,700,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr09,LEER,100XQ_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr09,LEER,100XL,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr09,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr09,LEER,100R,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr09,LEER,100S,aliased,X,,,S,SF,,True,64DRQC09,,80,manufacturer,2025-01-24,,
leer_64dr09,LEER,180XR,aliased,X,,,S,SF,,True,64DRQC09,,80,manufacturer,2025-01-24,,
leer_64dr09,LEER,750_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr09,LEER,700,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64drqc09,LEER,100XQ_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64drqc09,LEER,100XL,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64drqc09,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64drqc09,LEER,100R,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64drqc09,LEER,100S,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64drqc09,LEER,180XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_80dr09,LEER,100XR,OEM,X,True,windoor_and_option2,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_80dr09,LEER,100R,OEM,X,True,,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_80dr09,LEER,180XR,OEM,X,True,windoor_and_option2,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr09_d,LEER,100XQ_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr09_d,LEER,100XL,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr09_d,LEER,100XR,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr09_d,LEER,100R,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr09_d,LEER,100S,aliased,X,,,S,SF,,True,64DRQC09-D,,80,manufacturer,2025-01-24,,
leer_64dr09_d,LEER,180XR,aliased,X,,,S,SF,,True,64DRQC09-D,,80,manufacturer,2025-01-24,,
leer_80dr09_d,LEER,100XR,OEM,X,True,,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_80dr09_d,LEER,100R,OEM,X,True,,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_80dr09_d,LEER,180XR,OEM,X,True,windoor_and_option2,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_65dr,LEER,100XQ_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_65dr,LEER,100XL,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_65dr,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_65dr,LEER,100R,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_8dr,LEER,100XQ_SPORT,OEM,X,True,,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_8dr,LEER,100XL,OEM,X,True,windoor_and_option2,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_8dr,LEER,100XR,OEM,X,True,windoor_and_option2,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_8dr,LEER,100R,OEM,X,True,,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_50jg20,LEER,100XQ,OEM,X,False,,S,SC,,True,,,100,manufacturer,2025-01-24,,
